count,city,installation_date
25,Granite Bay,2007
3,Midway City,2012
49,Lindsay,2012
15,SAN JUAN BAUTISTA,2016
6,Redwood Valley,2010
113,Oceanside,2012
22,Atherton,2011
1,Laton,2004
43,Calabasas,2012
29,Pittsburg,2019
1,Redding,2001
2,Marina,2006
2,Chowchilla,2008
1,Ventura,1999
53,Tracy,2010
2,YOLO,2015
20,Palo Cedro,2012
4,North Fork,2010
44,Hollister,2014
7,Shafter,2010
46,SUTTER,2016
14,Winters,2010
1,Ahwahnee,2004
246,Beaumont,2017
29,PENNGROVE,2015
7,Pixley,2017
1,NEWBERRY SPRINGS,2009
3,ARROWBEAR LAKE,2018
9,LATON,2019
2,Montecito,2001
48,LOS ALTOS HILLS,2017
81,WINTERS,2017
240,SUNNYVALE,2019
4,WESTLAKE VILLAGE,2010
134,OLIVEHURST,2016
27,WILLIAMS,2019
6,Julian,2011
6,LUCERNE,2017
33,PAUMA VALLEY,2019
7,Monterey,2015
3,NAPA,2005
1,Foothill Ranch,2005
1,Wasco,2002
1,RANCHO LA COSTA,2010
17,MORAGA,2013
24,MURRIETA,2012
160,PLEASANT HILL,2017
272,PETALUMA,2016
4,Millville,2013
16,Grover Beach,2015
1,Martell,2013
1754,STOCKTON,2017
2,Pebble Beach,2006
12,LAWNDALE,2019
101,NORCO,2017
1,Igo,2012
29,Lakeside,2015
9,FREEDOM,2017
21,GLEN ELLEN,2016
1,POPLAR,2014
15,Anderson,2007
48,Fountain Valley,2014
4,Farmersville,2012
17,Carmel Valley,2009
2,Burson,2011
37,ESPARTO,2016
1,GLENCOE,2004
3,Harbor City,2016
1,ROMOLAND,2005
96,Lemoore,2013
2,Bodega Bay,2011
21,PORTERVILLE,2012
10,Penngrove,2012
3,Pebble Beach,2013
1,Boonville,2014
2,Red Bluff,2017
1,SOUTHGATE,2017
1,Mill Valley,2017
1,Volcano,2012
10,SOUTH EL MONTE,2016
75,RIO VISTA,2018
1,Santa Clarita,2005
1,Diamond Bar,2008
8,MAXWELL,2014
20,La Canada,2017
7,Tracy,2017
197,NOVATO,2017
37,Placentia,2010
2,Twain,2011
116,Norco,2013
1,Elk,2013
1,Oakhurst,2003
1,RANCHO PALOS VERDES,2008
1,Seal Beach,2006
3,Palos Verdes Peninsula,2011
5,BIOLA,2015
115,HACIENDA HEIGHTS,2017
3,Tomales,2010
8,Penngrove,2008
2,Julian,2005
60,SEBASTOPOL,2013
1,Corona del Mar,2017
4,KELSEY,2018
10,Firebaugh,2011
49,CLOVERDALE,2015
1,Geyserville,2003
63,Trabuco Canyon,2013
2,Nuevo,2007
1,Moraga,2002
22,Upper Lake,2011
1,"Richmond, ca",2019
2,POTTER VALLEY,2016
8,Eureka,2002
38,Los Altos Hills,2011
2,Wofford Heights,2016
1,Mammoth Lakes,2014
3,LAKE FOREST,2009
3,San Jose,2019
10,GUALALA,2015
2,ROBBINS,2016
2,JACUMBA,2017
1,MURPHYS,2006
12,Chula Vista,2003
486,CONCORD,2015
2,LAKE ALMANOR,2019
1,Farmersville,2008
27,FILLMORE,2017
1,WESTMINSTER,2009
1,ARROYO GRANDE,2011
1,TWIN PEAKS,2018
265,ALTA LOMA,2015
2,Tulare,2003
7,Belmont,2005
82,Los Altos,2007
1372,CLOVIS,2017
301,RED BLUFF,2016
163,PLEASANT HILL,2016
16,San Luis Obispo,2003
135,SAN CARLOS,2016
17,San Juan Capistrano,2011
4,San Bruno,2006
2,San Bernardino,2002
35,FOSTER CITY,2017
1,Artois,2011
3,Fremont,2018
613,ONTARIO,2019
63,Thousand Oaks,2016
1,Covelo,2015
5,Taft,2015
1,Mesa Verde,2011
3,El Macero,2009
19,Saint Helena,2008
42,SAN DIEGO,2003
10,The Sea Ranch,2011
2,LAKE FOREST,2010
365,RAMONA,2013
4,VALLEY CENTER,2010
6,Grass Valley,1999
108,Santa Ana,2011
14,Chowchilla,2007
338,CHINO,2019
115,Temecula,2018
23,Templeton,2010
4,CATHEYS VALLEY,2017
2,Mojave,2012
2,VENTURA,2008
5,Arcata,2015
5,CANTUA CREEK,2017
16,Tiburon,2011
4,Rescue,2005
30,Oak Park,2014
44,PISMO BEACH,2019
12,ELVERTA,2015
1,WATSONVILLE,2012
2,AGOURA HILLS,2012
1,Agua Dulce,2017
1,ALTADENA,2004
2,MIRAMONTE,2015
12,Santa Maria,2008
3,Bay Point,2011
22,Healdsburg,2007
4,Wofford Heights,2017
1,FRENCH CAMP,2013
10,CLARKSBURG,2015
17,Newport Beach,2009
2,Woodacre,2006
3,PALO VERDE,2015
13,Oakhurst,2010
4,PALO VERDE,2016
6,Creston,2006
13,MONTEBELLO,2014
59,WHEATLAND,2019
2,LITTLE RIVER,2014
140,Saugus,2013
6,The Sea Ranch,2013
13,Del Mar,2007
8,Lynwood,2013
7,KENWOOD,2017
2,Little Rock,2007
46,Cypress,2012
9,Soledad,2012
1,Pollack Pines,2005
1,Phillipsville,2013
5,Borrego Springs,2008
1,Colfax,2016
8,Castro Valley,2004
1,Westminster,2015
436,OAKLEY,2019
28,Cloverdale,2013
3,SAN ARDO,2016
22,Ventura,2007
21,QUARTZ HILL,2016
12,Glendora,2009
13,QUARTZ HILL,2017
686,Corona,2013
37,LARKSPUR,2015
3,Laytonville,2007
1,Ahwahnee,2006
1,Madera Ranchos,2006
31,Placentia,2017
212,GRANITE BAY,2018
25,BEVERLY HILLS,2019
2,YOLO,2019
1,RUNNING SPRINGS,2014
1,Los Altos Hills,2018
2,La Mesa,2017
85,Apple Valley,2011
19,OAK VIEW,2014
2,buena park,2016
132,Palm Desert,2016
1,RANCHO LA COSTA,2004
6,Newport Beach,2002
276,Escondido,2012
13,Wildomar,2010
3,Atherton,2004
1,Gardena,2006
10,Joshua Tree,2016
1,Rosemead,2006
20,Covina,2010
3,BARSTOW,2005
15,AVENAL,2019
2,WHITTIER,2010
105,RANCHO SANTA FE,2014
1,ROUND MOUNTAIN,2016
4,BODEGA,2014
1,RANCHO MIRAGE,2009
1,TWIN BRIDGES,2016
1,Olivehurst,2006
1,LA,2011
3,Lemoore,2019
1,RED MOUNTAIN,2017
5,ANTIOCH,2012
91,AMERICAN CANYON,2017
1,Rutherford,2010
34,Healdsburg,2010
60,Vacaville,2008
1,Camino,2004
26,Goleta,2016
6,Dana Point,2009
23,FALLBROOK,2011
2,Pico Rivera,2015
12,PRATHER,2014
63,ROMOLAND,2016
181,Fontana,2019
47,LAGUNA BEACH,2015
16,COMMERCE,2016
1,Topanga,2005
186,LOS BANOS,2014
13,Carmel,2011
8,Julian,2012
6,GALT,2015
1,Ben Lomond,2003
1,HANFORD,2006
125,San Diego,2004
3,Santee,2004
6,Redlands,2004
8,Esparto,2008
1,PEBBLE BEACH,2013
11,Menlo Park,2016
219,WILDOMAR,2018
1,GARDEN VALLEY,2013
3,Biola,2017
1,CARDIFF,2010
14,HAMILTON CITY,2018
4,National City,2010
41,Menlo Park,2010
12,Albany,2008
40,La Habra,2014
1,Gualala,2002
1,GARDENA,2009
41,WHEATLAND,2017
29,SOUTH PASADENA,2017
1,PALERMO,2013
370,VALLEY CENTER,2016
51,San Mateo,2011
3,POWAY,2007
1,FALL RIVER MILLS,2014
325,BERKELEY,2019
4,REDWAY,2018
10,Wildomar,2008
150,NEWMAN,2019
1,MUSCOY,2016
3,Burlingame,2003
2,Boron,2013
13,SANTA CLARITA,2013
3,Fortuna,2017
118,ALAMO,2016
127,Rio Vista,2014
337,HANFORD,2016
1,BRANSCOMB,2016
6,BANGOR,2015
3,Somerset,2007
1,RIO DELL,2015
1,PALOMAR MTN,2014
69,Lakewood,2017
11,FIDDLETOWN,2016
1,COVINA,2009
7,Winchester,2008
12,TUSTIN,2013
5,LANCASTER,2008
10,INYOKERN,2016
359,PITTSBURG,2015
1,PALA,2011
3,Lake Arrowhead,2009
227,FOUNTAIN VALLEY,2015
1,carson,2016
2,GARDENA,2010
214,CUPERTINO,2016
3,Sutter Creek,2007
20,Beverly Hills,2013
25,LOMITA,2019
4,INVERNESS,2015
1,CUYAMA,2002
3,Los Banos,2006
1,ALBANY,2004
1,poway,2013
12,Kelseyville,2012
56,Cypress,2017
6,PACHECO,2016
1,Yankee Hill,2003
1,El Dorado,2002
1,Desert Hot Springs,2003
57,Davis,2004
6,CORONADO,2010
21,Beverly Hills,2014
57,Porterville,2019
1,tracy,2014
66,Martinez,2012
121,Huntington Beach,2011
88,WILLOWS,2015
6,Belmont,2004
4,GARBERVILLE,2019
19,San Jacinto,2010
2,HUNTINGTON BEACH,2006
14,Atwater,2009
20,POLLOCK PINES,2017
7,Visalia,2005
2,Morro Bay,2014
2,Middletown,2017
28,Antioch,2015
4,NICE,2015
1,Raymond,2002
3,Wasco,2015
1,South Gate,2007
1,MANCHESTER,2016
53,BURLINGAME,2014
1,SHASTA LAKE,2016
6,CABAZON,2018
1,Mountain Ranch,2010
1,West Covina,2007
2,VISTA,2003
21,Salinas,2016
53,COLFAX,2017
1,Flagstaff,2003
1,Richgrove,2011
1,Fortuna,2005
39,WASCO,2014
1,Hidden Valley Lake,2017
1,Rancho Dominguez,2011
5,CARLOTTA,2019
2,Penn Valley,2003
4,Colton,2012
297,HANFORD,2017
1,Quincy,2006
4,American Canyon,2006
1,Paris,2010
1,Elk,2012
7,Lodi,2014
1,Paicines,2005
2,Marshall,2010
103,Gilroy,2013
2,Midway City,2010
13,Ramona,2002
5,Rescue,2007
133,San Bernardino,2019
2,Auburn,2018
7,Orland,2019
4,RIO DELL,2019
6,Le Grand,2012
1,Bangor,2004
1,Cloverdale,2017
7,Newark,2007
1,COLLEGE CITY,2018
156,LAKE FOREST,2018
